ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,4583,台灣精銳,電機機械,248519,267508,235678,-7.098479298,5.448535714,2998017,2958991,1.318895529,-
1150117,11412,4585,達明,其他電子業,198863,141035,129048,41.00258801,54.1000248,1822095,1481037,23.02832407,客戶自動化需求提高，致本公司機械手臂銷售增加。
1150117,11412,4588,玖鼎電力,其他電子業,158159,119550,133952,32.29527394,18.07139871,920285,1070905,-14.06473964,-
1150117,11412,4720,德淵,化學工業,307751,329218,331365,-6.520603369,-7.126280687,3594110,3679001,-2.307447049,-
1150117,11412,4722,國精化,化學工業,284200,292923,375523,-2.977915698,-24.31888326,3727379,4040634,-7.75262001,-
1150117,11412,4736,泰博,生技醫療業,407668,334821,383588,21.75699852,6.277568641,4204105,4640915,-9.41215256,-
1150117,11412,4737,華廣,生技醫療業,160880,128734,142633,24.97087017,12.79297217,1838588,1933746,-4.920915156,-
1150117,11412,4739,康普,化學工業,653109,670795,329643,-2.636573022,98.12615466,6191109,4095506,51.1683538,本月營收及本年營收較去年同期增加，主係動力電池材料銷售增加。
1150117,11412,4746,台耀,生技醫療業,526610,376016,539401,40.04989149,-2.371334128,4851357,4731046,2.543010573,-
1150117,11412,4755,三福化,化學工業,409047,408360,414255,0.168233911,-1.257196654,4830437,5323742,-9.266132731,-
1150117,11412,4763,材料*-KY,化學工業,1174813,804535,1559056,46.02385229,-24.64587545,13231401,15713325,-15.79502747,-
1150117,11412,4764,雙鍵,化學工業,274436,290750,301179,-5.611006019,-8.879437145,2849976,2702450,5.458972414,-
1150117,11412,4766,南寶,化學工業,2003089,1936503,1995292,3.438466142,0.390769872,23200302,22982598,0.947255832,-
1150117,11412,4770,上品,化學工業,466704,311144,509994,49.99614326,-8.488335157,4726102,6457399,-26.81105814,-
1150117,11412,4771,望隼,生技醫療業,287612,308000,222666,-6.619480519,29.1674526,3487442,3002007,16.1703487,-
1150117,11412,4807,日成-KY,貿易百貨,123008,180336,114915,-31.7895484,7.042596702,2119078,1779357,19.09234628,-
1150117,11412,4904,遠傳,通信網路業,11340652,10312164,9991538,9.973541926,13.50256587,110346077,104622553,5.470640733,-
1150117,11412,4906,正文,通信網路業,1373092,1130323,2091789,21.47784306,-34.35800647,16494723,25627909,-35.63765581,-
1150117,11412,4912,聯德控股-KY,電子零組件業,592891,683855,575573,-13.3016502,3.008827725,6322525,5799711,9.014483653,-
1150117,11412,4915,致伸,電子零組件業,4871377,4538542,3998432,7.333522528,21.83218322,60181706,58166140,3.465187822,-
1150117,11412,4916,事欣科,電腦及週邊設備業,402773,354142,293351,13.73206228,37.30070803,3605070,3573442,0.885085024,-
1150117,11412,4919,新唐,半導體業,2457445,2292898,2573573,7.176376795,-4.51232586,30492418,31923290,-4.482219721,-
1150117,11412,4927,泰鼎-KY,電子零組件業,910578,851307,1009593,6.962353182,-9.807417444,11608228,12459179,-6.829912308,12月份自結數
1150117,11412,4930,燦星網,電器電纜,380994,485059,584222,-21.45409115,-34.78609159,6034120,7944067,-24.04243318,-
1150117,11412,4934,太極,光電業,8576,11096,6413,-22.71088681,33.72836426,89337,367746,-75.70687377,本年累計營收較去年減少主係受貿易政策調整影響，致市場需求放緩所致。
1150117,11412,4935,茂林-KY,光電業,413207,369062,580275,11.96140486,-28.7911766,5350863,6946030,-22.96516139,-
1150117,11412,4938,和碩,電腦及週邊設備業,99893947,101800641,102445230,-1.87296856,-2.490387303,1117153108,1125348517,-0.728255192,-
1150117,11412,4942,嘉彰,光電業,540506,602705,524838,-10.31997412,2.985302131,6081219,5668676,7.27759004,-
1150117,11412,4943,康控-KY,電子零組件業,156828,170768,133185,-8.163121896,17.7519991,1690289,1516445,11.46391725,-
1150117,11412,4949,有成精密,光電業,193922,191907,183304,1.049987754,5.792563174,2388833,2395349,-0.272027166,-
1150117,11412,4952,凌通,半導體業,148468,153697,143170,-3.402148383,3.700495914,2128010,2461895,-13.56211374,-
1150117,11412,4956,光鋐,光電業,103205,110929,113333,-6.963012377,-8.936496872,1349023,1294749,4.191854946,-
1150117,11412,4958,臻鼎-KY,電子零組件業,19321296,18120795,15746293,6.624990791,22.70377542,182521620,171663845,6.325021439,-
1150117,11412,4960,誠美材,光電業,819754,722434,788628,13.47112677,3.946854537,8643189,8927193,-3.181335947,-
1150117,11412,4961,天鈺,半導體業,1389390,1332224,1740812,4.291020129,-20.18724595,17974301,19224746,-6.504351215,-
